,Store,Cuisine Type,Rating,Delivery Time
48,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""Taqueria Alvaro Obregon""> Taqueria Alvaro Obregon </h2>"," Tacos ,  Mexicana ","<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.2 </span>", 100 min 
49,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""Tortas Don Polo Cdmx""> Tortas Don Polo Cdmx </h2>"," Mexicana ,  Desayunos ","<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.8 </span>", 100 min 
50,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""Taqueria Los Parados""> Taqueria Los Parados </h2>"," Tacos ,  Mexicana ","<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.9 </span>", 100 min 
51,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""El Taquito Sotelo""> El Taquito Sotelo </h2>"," Tacos ,  Mexicana ","<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.5 </span>", 100 min 
52,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""El Farolito""> El Farolito </h2>"," Tacos ,  Mexicana ","<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.6 </span>", 100 min 
53,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""Pizza Felix""> Pizza Felix </h2>", Pizza ,"<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.5 </span>", 100 min 
54,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""Taqueria Selene""> Taqueria Selene </h2>"," Tacos ,  Mexicana ","<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.6 </span>", 100 min 
55,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""Green Grass""> Green Grass </h2>", Saludables ,"<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.7 </span>", 100 min 
56,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""Capricciosas Pizza Gourmet""> Capricciosas Pizza Gourmet </h2>", Pizza ,"<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.6 </span>", 100 min 
57,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""Domino's Pizza""> Domino's Pizza </h2>"," Postres ,  Pizza ","<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.3 </span>", 30 min 
58,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""Kabuki Sushi ""> Kabuki Sushi  </h2>", Sushi ,"<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4 </span>", 100 min 
59,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""La Pantera Fresca""> La Pantera Fresca </h2>", Helados ,"<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.8 </span>", 100 min 
60,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""El Huequito""> El Huequito </h2>", Tacos ,"<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.4 </span>", 100 min 
61,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""El Naranjito""> El Naranjito </h2>"," Tacos ,  Mexicana ","<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.7 </span>", 100 min 
62,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""Las Quekas Factory""> Las Quekas Factory </h2>", Mexicana ,"<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.6 </span>", 100 min 
63,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""Teikit Sushi Shop""> Teikit Sushi Shop </h2>", Sushi ,"<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.6 </span>", 100 min 
64,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""Starbucks""> Starbucks </h2>"," Café ,  Desayunos ","<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.7 </span>", 100 min 
65,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""Taquería El Greco""> Taquería El Greco </h2>"," Tacos ,  Árabe ","<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.7 </span>", 100 min 
66,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""Hayito""> Hayito </h2>"," Tacos ,  Árabe ","<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.5 </span>", 100 min 
67,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""Lima Limón Frutería &amp; Loncheria""> Lima Limón Frutería &amp; Loncheria </h2>"," Mexicana ,  Comida Rápida ","<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.6 </span>", 100 min 
68,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""Buda Roll 2X1""> Buda Roll 2X1 </h2>"," Sushi ,  Asiática ","<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.1 </span>", 100 min 
